Accuracy,number_questionnaires,data_length,plannedId,file_name,activity
0,1,24001,2308,emaLabel_ACTIVPAL_1101.csv,walking
0.37860768123627,1,13201,2319,emaLabel_ACTIVPAL_1101.csv,cycling
1,1,24001,2346,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2374,emaLabel_ACTIVPAL_1101.csv,sitting
0,1,6001,2376,emaLabel_ACTIVPAL_1101.csv,sitting
0.658890184969172,1,6001,2376,emaLabel_ACTIVPAL_1101.csv,walking
1,1,24001,2383,emaLabel_ACTIVPAL_1101.csv,sitting
0,1,24001,2390,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2427,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2522,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2530,emaLabel_ACTIVPAL_1101.csv,sitting
0.0367484688137994,1,24001,2538,emaLabel_ACTIVPAL_1101.csv,sitting
0,1,6001,2541,emaLabel_ACTIVPAL_1101.csv,sitting
0.976837193801033,1,6001,2541,emaLabel_ACTIVPAL_1101.csv,walking
1,1,25201,2546,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,25201,2567,emaLabel_ACTIVPAL_1101.csv,sitting
0.0658223629395101,1,6001,2570,emaLabel_ACTIVPAL_1101.csv,cycling
1,1,24001,2588,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2611,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,25201,2616,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,24001,2622,emaLabel_ACTIVPAL_1101.csv,sitting
1,1,25201,306,emaLabel_ACTIVPAL_1102.csv,sitting
1,1,24001,316,emaLabel_ACTIVPAL_1102.csv,sitting
0.983625682263239,1,24001,2322,emaLabel_ACTIVPAL_1102.csv,sitting
0.993166951377026,1,24001,2340,emaLabel_ACTIVPAL_1102.csv,standing
0.474610697359513,1,19201,2348,emaLabel_ACTIVPAL_1102.csv,walking
1,1,25201,2350,emaLabel_ACTIVPAL_1102.csv,sitting
1,1,24001,2370,emaLabel_ACTIVPAL_1102.csv,sitting
1,1,24001,2381,emaLabel_ACTIVPAL_1102.csv,sitting
1,1,25201,2385,emaLabel_ACTIVPAL_1102.csv,sitting
0.561239793367772,1,6001,2394,emaLabel_ACTIVPAL_1102.csv,walking
1,1,6001,2396,emaLabel_ACTIVPAL_1102.csv,running
1,1,24001,2415,emaLabel_ACTIVPAL_1102.csv,sitting
0.912681219796701,1,6001,2417,emaLabel_ACTIVPAL_1102.csv,walking
0.968671888018664,1,6001,2425,emaLabel_ACTIVPAL_1102.csv,walking
1,1,24001,2431,emaLabel_ACTIVPAL_1102.csv,sitting
0.652797066829621,1,18001,2436,emaLabel_ACTIVPAL_1102.csv,running
0.899350108315281,1,6001,2437,emaLabel_ACTIVPAL_1102.csv,running
0.00373001071386056,1,25201,2449,emaLabel_ACTIVPAL_1102.csv,standing
0,1,24001,2455,emaLabel_ACTIVPAL_1102.csv,sitting
0.747208798533578,1,6001,2459,emaLabel_ACTIVPAL_1102.csv,walking
0.913014497583736,1,6001,2465,emaLabel_ACTIVPAL_1102.csv,walking
1,1,6001,2467,emaLabel_ACTIVPAL_1102.csv,running
0.592875494757308,1,14401,2473,emaLabel_ACTIVPAL_1102.csv,walking
0.759540076653891,1,6001,2488,emaLabel_ACTIVPAL_1102.csv,walking
1,1,6001,2497,emaLabel_ACTIVPAL_1102.csv,walking
1,1,25201,2500,emaLabel_ACTIVPAL_1102.csv,sitting
0.341652431148702,1,24001,2520,emaLabel_ACTIVPAL_1102.csv,sitting
1,1,25201,2534,emaLabel_ACTIVPAL_1102.csv,sitting
0.281768942324862,1,16801,2543,emaLabel_ACTIVPAL_1102.csv,cycling
1,1,24001,2548,emaLabel_ACTIVPAL_1102.csv,sitting
0.622396267288785,1,6001,2569,emaLabel_ACTIVPAL_1102.csv,walking
0.990583725678097,1,24001,2575,emaLabel_ACTIVPAL_1102.csv,sitting
0.92234627562073,1,6001,2586,emaLabel_ACTIVPAL_1102.csv,walking
1,1,24001,2592,emaLabel_ACTIVPAL_1102.csv,sitting
